,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,date_posted,days_listed
0,9400.0,2011,bmw x5,good,6,gas,145000.0,automatic,SUV,black,2018-06-23,19
1,5500.0,2013,hyundai sonata,like new,4,gas,110000.0,automatic,sedan,red,2019-02-07,79
2,1500.0,2003,ford f-150,fair,8,gas,182421.97,automatic,pickup,white,2019-03-22,9
3,14900.0,2017,chrysler 200,excellent,4,gas,80903.0,automatic,sedan,black,2019-04-02,28
4,14990.0,2014,chrysler 300,excellent,6,gas,57954.0,automatic,sedan,black,2018-06-20,15
5,12990.0,2015,toyota camry,excellent,4,gas,79212.0,automatic,sedan,white,2018-12-27,73
6,15990.0,2013,honda pilot,excellent,6,gas,109473.0,automatic,SUV,black,2019-01-07,68
7,11500.0,2012,kia sorento,excellent,4,gas,104174.0,automatic,SUV,silver,2018-07-16,19
8,19500.0,2011,chevrolet silverado 1500,excellent,8,gas,128413.0,automatic,pickup,black,2018-09-17,38
9,8990.0,2012,honda accord,excellent,4,gas,111142.0,automatic,sedan,grey,2019-03-28,29
10,18990.0,2012,ram 1500,excellent,8,gas,140742.0,automatic,pickup,white,2019-04-02,37
11,16500.0,2018,hyundai sonata,excellent,4,gas,22104.0,automatic,sedan,silver,2019-01-14,29
12,12990.0,2009,gmc yukon,excellent,8,gas,132285.0,automatic,SUV,black,2019-01-31,24
13,17990.0,2013,ram 1500,excellent,8,gas,106274.11,automatic,pickup,red,2018-05-15,111
14,14990.0,2010,ram 1500,excellent,8,gas,130725.0,automatic,pickup,red,2018-12-30,13
15,13990.0,2014,jeep cherokee,excellent,6,gas,100669.0,automatic,SUV,red,2018-08-16,25
16,12500.0,2013,chevrolet traverse,excellent,6,gas,128325.0,automatic,SUV,white,2019-04-09,13
17,13990.0,2018,hyundai elantra,excellent,4,gas,31932.0,automatic,sedan,red,2018-08-25,27
18,5250.0,2007,toyota rav4,good,6,gas,154000.0,automatic,SUV,silver,2018-08-22,8
19,7500.0,2004,chevrolet silverado,like new,8,gas,180000.0,automatic,truck,red,2019-01-05,64
20,7500.0,2004,jeep wrangler,good,6,gas,130043.055,automatic,SUV,red,2018-05-17,39
21,3950.0,2009,chrysler 200,excellent,4,gas,106274.11,automatic,sedan,red,2018-06-11,40
22,11499.0,2017,chevrolet malibu,like new,4,gas,78822.49,automatic,sedan,silver,2018-07-26,43
23,8499.0,2014,ford fusion se,like new,4,gas,79523.0,automatic,sedan,red,2018-10-25,23
